quantity,coordinate,lbmcavi,ghia1982,abs_error
u_vertical_centerline,0.9766,0.78297360,0.84123,0.05825640
u_vertical_centerline,0.7344,-0.00698724,0.00332,0.01030724
u_vertical_centerline,0.5000,-0.19873046,-0.20581,0.00707954
u_vertical_centerline,0.2813,-0.14271770,-0.15662,0.01390230
u_vertical_centerline,0.1016,-0.05537852,-0.06434,0.00896148
v_horizontal_centerline,0.9688,-0.08361421,-0.05906,0.02455421
v_horizontal_centerline,0.8047,-0.24259277,-0.24533,0.00273723
v_horizontal_centerline,0.5000,0.06762880,0.05454,0.01308880
v_horizontal_centerline,0.2266,0.17010621,0.17507,0.00496379
v_horizontal_centerline,0.0625,0.07713349,0.09233,0.01519651
